GenusSpecies,ConGenus,ConFamily,ConOrder,ConClass,ConPhylum,Superkingdom,GrowthRate,RateUnit,OptimumTemp,TempUnit,AverageVolume,VolumeUnit,Sources,Notes
Desulfofrigus fragile,Desulfofrigus,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria,1.06E-05,s^-1,17.9513,Celsius,1.73E-18,m^3,https://books.google.co.uk/books?id=9cwgo-9IyTUC&pg=PA977&lpg=PA977&dq=Desulfofrigus+oceanense+cell+size&source=bl&ots=lTtbfougYA&sig=4rpA3CrTU5e2uXVWlwzPw1h9H54&hl=en&sa=X&ved=0ahUKEwj46PvYz5bbAhVDxRQKHf4wD-sQ6AEIMzAC#v=onepage&q=Desulfofrigus%20oceanense%20cell%20size&f=false,pg.977
Desulfofrigus oceanense,Desulfofrigus,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria,1.31E-06,s^-1,9.57305,Celsius,1.54E-17,m^3,https://books.google.co.uk/books?id=9cwgo-9IyTUC&pg=PA977&lpg=PA977&dq=Desulfofrigus+oceanense+cell+size&source=bl&ots=lTtbfougYA&sig=4rpA3CrTU5e2uXVWlwzPw1h9H54&hl=en&sa=X&ved=0ahUKEwj46PvYz5bbAhVDxRQKHf4wD-sQ6AEIMzAC#v=onepage&q=Desulfofrigus%20oceanense%20cell%20size&f=false,pg.977
Desulfomicrobium thermophilum,Desulfomicrobium,Desulfomicrobiaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,7.23E-06,s^-1,55,Celsius,8.72E-19,m^3,"corkrey, engqvist, gold","480, 555, 12331"
Desulforhopalus vacuolatus,Desulforhopalus,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria,8.53E-06,s^-1,19.7137,Celsius,7.81E-18,m^3,https://www.researchgate.net/publication/225671825_Desulforpalus_vacuolatus_gen_nov_sp_nov_a_new_moderately_psychrophilic_sulfate-reducing_bacterium_with_gas_vacuoles_isolated_from_a_temperate_estuary,
Desulfotalea arctica,Desulfotalea,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria,6.90E-06,s^-1,19.253,Celsius,7.38E-19,m^3,https://bacdive.dsmz.de/search?search=Desulfotalea+arctica&submit=search,BacDrive meta-Database
Desulfotalea psychrophila,Desulfotalea,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria,7.67E-06,s^-1,9.84461,Celsius,1.63E-18,m^3,https://bacdive.dsmz.de/search?search=Desulfotalea+psychrophila&submit=search,BacDrive meta-Database
Desulfotomaculum alkaliphilum,Desulfotomaculum,Peptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.39E-06,s^-1,52.5,Celsius,1.01E-18,m^3,"corkrey, engqvist, gold","390, 555, 12331"
Desulfotomaculum geothermicum,Desulfotomaculum,Peptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.05E-06,s^-1,54,Celsius,7.24E-19,m^3,"corkrey, engqvist, gold","513, 555, 12331"
Desulfotomaculum putei,Desulfotomaculum,Peptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,8.17E-05,s^-1,60.1536,Celsius,2.11E-18,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,"pg.993, Table 186"
Desulfovibrio cuneatus,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,5.06E-06,s^-1,28,Celsius,4.19E-19,m^3,"corkrey, engqvist, gold, patric","23, 555, 12331, 18707"
Desulfovibrio inopinatus,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,4.81E-06,s^-1,30,Celsius,9.31E-18,m^3,"corkrey, engqvist, gold, patric","542, 555, 12331, 18707"
Desulfovibrio litoralis,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,5.54E-06,s^-1,28,Celsius,4.09E-19,m^3,"corkrey, engqvist, gold","23, 555, 12331"
Desulfuromonas acetoxidans,Desulfuromonas,Desulfuromonadaceae,Desulfuromonadales,Deltaproteobacteria,Proteobacteria,Bacteria,3.75E-05,s^-1,30,Celsius,6.50E-19,m^3,"corkrey, engqvist, gold, microbe-directory, patric, protraits, bergeys","17, 555, 12331, 18701, 18707, 18718"
Desulfuromonas michiganensis,Desulfuromonas,Desulfuromonadaceae,Desulfuromonadales,Deltaproteobacteria,Proteobacteria,Bacteria,0.00021665,s^-1,79.3778,Celsius,1.63E-19,m^3,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/65/5/1686_ijs000159.pdf?expires=1526902904&id=id&accname=guest&checksum=44CE48144AF9CF34C5D264FA58575AB5,
Dethiosulfovibrio peptidovorans,Dethiosulfovibrio,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria,2.36E-05,s^-1,42,Celsius,4.19E-18,m^3,"corkrey, engqvist, gold, microbe-directory, patric, protraits","467, 555, 12331, 18701, 18707, 18718"
Detonula confervacea,Detonula,Skeletonemataceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Phytoplankton,1.20E-05,s^-1,12,Celsius,2.99E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Dictyoglomus thermophilum,Dictyoglomus,Dictyoglomaceae,Dictyoglomales,Dictyoglomia,Dictyoglomi,Bacteria,1.37E-06,s^-1,78,Celsius,2.42E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","286, 555, 5040, 12331, 12893, 14813, 18701, 18707, 18718, 18723"
Dinobryon divergens,Dinobryon,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Phytoplankton,5.79E-06,s^-1,17,Celsius,2.34E-16,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Dinoroseobacter shibae,Dinoroseobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,1.92E-05,s^-1,33,Celsius,1.70E-19,m^3,"engqvist, fierer, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","555, 1559, 4874, 12331, 12895, 14651, 18701, 18707, 18718, 18723, 18854"
Ditylum brightwellii,Ditylum,Lithodesmiaceae,Lithodesmiales,Coscinodiscophyceae,Bacillariophyta,Phytoplankton,1.30E-05,s^-1,12,Celsius,8.25E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Dunaliella tertiolecta,Dunaliella,Dunaliellaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Phytoplankton,2.59E-05,s^-1,28,Celsius,1.78E-16,m^3,"Edwards, K. F., Klausmeier, C. A. and Litchman, E. (2015), Nutrient utilization traits of phytoplankton. Ecology, 96: 2311. doi:10.1890/14-2252.5",
Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,0.00034973,s^-1,36.8343,Celsius,2.67E-18,m^3,Size:https://catalog.hardydiagnostics.com/cp_prod/Content/hugo/Enterococcus.htm mass: http://www.pnas.org/content/105/44/16994,
Erwinia amylovora,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria,0.00015932,s^-1,29.99880665,Celsius,5.41E-19,m^3,"van der zwet & keil (1979), https://www.eppo.int/QUARANTINE/data_sheets/bacteria/ERWIAM_ds.pdf",
Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria,0.00109227,s^-1,38.5,Celsius,1.26E-18,m^3,https://books.google.co.uk/books?id=qyVoI1iUiBkC&pg=PA1&dq=escherichia+coli+cell+size&hl=en&sa=X&ved=0ahUKEwixrsjzmszbAhXKaFAKHcLfCq8Q6AEITjAH#v=onepage&q=escherichia%20coli%20cell%20size&f=false,
Eucampia zodiacus,Eucampia,Hemiaulaceae,Hemiaulales,Coscinodiscophyceae,Bacillariophyta,Phytoplankton,3.56E-05,s^-1,20,Celsius,2.00E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Exilispira thermophila,Exilispira,NA,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria,6.88E-06,s^-1,50,Celsius,1.07E-18,m^3,"corkrey, fierer, gold","99, 1662, 12331"
Ferroglobus placidus,Ferroglobus,Archaeoglobaceae,Archaeoglobales,Archaeoglobi,Euryarchaeota,Archaea,7.60E-07,s^-1,85,Celsius,1.05E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","304, 555, 5092, 12331, 12946, 15099, 18701, 18707, 18718, 18723"
Fibrocapsa japonica,Fibrocapsa,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Phytoplankton,4.63E-06,s^-1,24.5,Celsius,4.17E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Flavobacterium antarcticum,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,3.48E-05,s^-1,21.2,Celsius,9.07E-20,m^3,"corkrey, engqvist, fierer, gold, microbe-directory, pasteur, patric, protraits","536, 555, 1699, 12331, 18701, 18707, 18718"
Flavobacterium denitrificans,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,1.86E-05,s^-1,25,Celsius,6.71E-19,m^3,"corkrey, engqvist, fierer, gold, pasteur, patric","73, 555, 1444, 12331, 18707"
Flavobacterium hibernum,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,3.53E-05,s^-1,25,Celsius,2.76E-18,m^3,"corkrey, engqvist, gold, pasteur, patric, bergeys","367, 555, 12331, 18707"
Flavobacterium segetis,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,7.27E-07,s^-1,16.6,Celsius,7.94E-20,m^3,"corkrey, engqvist, fierer, gold, pasteur","451, 555, 1739, 12331"
Flavobacterium weaverense,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,1.47E-06,s^-1,17,Celsius,1.10E-18,m^3,"corkrey, engqvist, fierer, gold, pasteur","451, 555, 1739, 12331"
Flexistipes sinusarabici,Flexistipes,Deferribacteraceae,Deferribacterales,Deferribacteres,Deferribacteres,Bacteria,2.86E-06,s^-1,47.5,Celsius,1.94E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","109, 555, 5274, 12331, 12964, 15451, 18701, 18707, 18718, 18723"
Fragilaria bidens,Fragilaria,Fragilariaceae,Fragilariales,Bacillariophyceae,Bacillariophyta,Phytoplankton,1.28E-05,s^-1,20,Celsius,2.80E-16,m^3,"Edwards, K. F., Klausmeier, C. A. and Litchman, E. (2015), Nutrient utilization traits of phytoplankton. Ecology, 96: 2311. doi:10.1890/14-2252.1",
Fragilaria crotonensis,Fragilaria,Fragilariaceae,Fragilariales,Bacillariophyceae,Heterokontophyta,Phytoplankton,6.76E-06,event / (individual * second),25,Celsius,2.33E-16,m^3,"Edwards, K. F., Klausmeier, C. A. and Litchman, E. (2015), Nutrient utilization traits of phytoplankton. Ecology, 96: 2311. doi:10.1890/14-2252.3",
Fragilariopsis cylindrus,Fragilariopsis,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,Phytoplankton,6.83E-06,s^-1,5,Celsius,2.36E-17,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Fragilariopsis kerguelensis,Fragilariopsis,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,Phytoplankton,6.25E-06,s^-1,4,Celsius,8.25E-16,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Galenea microaerophila,Galenea,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria,5.77E-05,s^-1,35,Celsius,1.35E-19,m^3,"bacdive-microa, corkrey, engqvist, fierer","1, 493, 555, 1793"
Gambierdiscus toxicus,Gambierdiscus,Goniodomataceae,Gonyaulacales,Dinophyceae,,Phytoplankton,1.85E-06,s^-1,29,Celsius,8.41E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Geobacillus caldotenax,Geobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,0.00061292,s^-1,64.60225872,Celsius,5.24E-19,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,pg.159 as Bacillus caldotenax. Length based from Geobacillus thermantarcticus - https://bacdive.dsmz.de/strain/1438
Geobacillus stearothermophilus,Geobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,0.00077185,s^-1,51.6234,Celsius,1.50E-18,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,pg.154
Geobacillus thermocatenulatus,Geobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,4.05E-06,s^-1,62.5,Celsius,9.92E-18,m^3,"corkrey, engqvist, fierer, genbank, gold, rrndb, bergeys","156, 555, 1803, 6228, 12331, 18723"
Geobacter sulfurreducens,Geobacter,Geobacteraceae,Desulfuromonadales,Deltaproteobacteria,Proteobacteria,Bacteria,1.10E-05,s^-1,29.333,Celsius,2.62E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 4631, 7756, 12331, 12995, 14205, 15834, 18560, 18701, 18707, 18718, 18723, 18859"
Geoglobus ahangari,Geoglobus,Archaeoglobaceae,Archaeoglobales,Archaeoglobi,Euryarchaeota,Archaea,3.57E-07,s^-1,88,Celsius,6.70E-20,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, patric, rrndb","266, 555, 6427, 12331, 12998, 17632, 18707, 18723"
Geosporobacter subterraneus,Geosporobacter,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,8.55E-06,s^-1,42,Celsius,7.53E-19,m^3,"corkrey, engqvist, fierer, gold","90, 555, 1824, 12331"
Gephyrocapsa oceanica,Gephyrocapsa,Noelaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Phytoplankton,1.08E-05,s^-1,24,Celsius,4.80E-17,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Glaciecola punicea,Glaciecola,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,3.12E-05,s^-1,13.71,Celsius,3.20E-19,m^3,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/48/4/ijs-48-4-1213.pdf?expires=1526915961&id=id&accname=guest&checksum=088CF97C1DF83E51FD1BE8ED3B8D2D3D,
Gluconobacter oxydans,Gluconobacter,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria,0.000102415,s^-1,28.95,Celsius,1.88E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva","555, 4753, 7708, 8129, 8535, 8831, 12331, 13004, 13005, 14274, 16220, 17290, 18701, 18707, 18718, 18723, 18861"
Golenkinia radiata,Golenkinia,Neochloridaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Phytoplankton,1.45E-05,s^-1,26,Celsius,1.02E-15,m^3,"Olenina, I., Hajdu, S., Edler, L., Andersson, A., Wasmund, N., Busch, S., Göbel, J., Gromisz, S., Huseby, S., Huttunen, M., Jaanus, A., Kokkonen, P., Ledaine, I. and Niemkiewicz, E. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HEL",
Gonyostomum semen,Gonyostomum,Vacuolariaceae,Chattonellales,Raphidophyceae,Ochrophyta,Phytoplankton,8.91E-07,s^-1,9,Celsius,9.54E-15,m^3,"Olenina, I., Hajdu, S., Edler, L., Andersson, A., Wasmund, N., Busch, S., Göbel, J., Gromisz, S., Huseby, S., Huttunen, M., Jaanus, A., Kokkonen, P., Ledaine, I. and Niemkiewicz, E. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HEL",
Gottschalkia purinilyticum,Gottschalkia,Gottschalkiaceae,Tissierellales,Tissierellia,Firmicutes,Bacteria,4.78E-05,micro (s^-1),36,Celsius,8.16E-18,m^3,"corkrey, engqvist, gold","117, 555, 12331"
Gymnodinium breve,Gymnodinium,Kareniaceae,Gymnodiniales,Dinophyceae,,Phytoplankton,2.55E-06,s^-1,25,Celsius,6.03E-16,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Gymnodinium catenatum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,,Phytoplankton,4.28E-06,s^-1,22.5,Celsius,4.52E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Gymnodinium corollarium,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,,Phytoplankton,3.82E-06,s^-1,4,Celsius,5.24E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Gymnodinium sanguineum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Phytoplankton,5.98E-06,s^-1,25,Celsius,1.32E-13,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Haematococcus droebakensis,Haematococcus,Haematococcaceae,Volvocales,Chlorophyceae,Chlorophyta,Phytoplankton,6.02E-06,s^-1,20,Celsius,9.14E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Haemophilus influenzae,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,0.000137825,s^-1,36.684,Celsius,2.03E-19,m^3,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, patric, protraits, rrndb, silva, bergeys","1, 555, 4404, 7929, 7961, 8681, 8713, 9130, 9161, 9451, 9481, 9697, 9725, 10048, 4607, 10190, 4576, 10306, 10663, 5131, 10934, 12206, 12207, 12208, 12331, 13017, 14059, 14289, 14582, 14583, 15312, 15317, 15620, 15874, 15875, 16682, 17183, 17219, 17442, 18560, 18701, 18707, 18718, 18723, 18864"
Halanaerobacter chitinivorans,Halanaerobacter,Halobacteroidaceae,Halanaerobiales,Clostridia,Firmicutes,Bacteria,1.24E-05,s^-1,37,Celsius,1.23E-18,m^3,"corkrey, engqvist, gold, bergeys","441, 555, 12331"
Halanaerobium alcaliphilum,Halanaerobium,Halanaerobiaceae,Halanaerobiales,Clostridia,Firmicutes,Bacteria,8.26E-05,s^-1,36.643,Celsius,1.95E-18,m^3,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1198",pg.1199
Halanaerobium lacusrosei,Halanaerobium,Halanaerobiaceae,Halanaerobiales,Clostridia,Firmicutes,Bacteria,4.83E-05,s^-1,40,Celsius,5.13E-19,m^3,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1200","Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1200"
Halanaerobium praevalens,Halanaerobium,Halanaerobiaceae,Halanaerobiales,Clostridia,Firmicutes,Bacteria,1.47E-05,s^-1,37,Celsius,1.54E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","64, 555, 5063, 12331, 13024, 15835, 18701, 18707, 18718, 18723"
Halanaerobium sehlinense,Halanaerobium,Halanaerobiaceae,Halanaerobiales,Clostridia,Firmicutes,Bacteria,1.78E-05,s^-1,43,Celsius,2.09E-18,m^3,"corkrey, engqvist, fierer","160, 555, 1895"
Haliea salexigens,Haliea,Halieaceae,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,1.75E-05,s^-1,27.5,Celsius,2.81E-19,m^3,"corkrey, engqvist, fierer, gold, pasteur, protraits","125, 555, 1902, 12331, 18718"
Haloarcula vallismortis,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,0.00014998,s^-1,44.9496,Celsius,2.23E-18,m^3,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/40/2/ijs-40-2-209.pdf?expires=1527009437&id=id&accname=guest&checksum=96A42DD1DAE75BB730F115177803E8B6,
Halobacillus mangrovi,Halobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,0.000140336,s^-1,34,Celsius,5.52E-19,m^3,"corkrey, engqvist, fierer, genbank, gold, kegg, rrndb","535, 555, 1913, 6839, 12331, 18337, 18723"
Halobacterium salinarum,Halobacterium,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,0.00018508,s^-1,49.1739,Celsius,4.27E-18,m^3,https://books.google.co.uk/books?id=swciHNNWZDEC&pg=PA118&dq=Halobacterium+cell+size&hl=en&sa=X&ved=0ahUKEwj6ksfXnZrbAhUOe8AKHSmQC2gQ6AEIOTAD#v=onepage&q=Halobacterium%20cell%20size&f=false,pg.118
Halobaculum gomorrense,Halobaculum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,0.00015817,s^-1,42.9886,Celsius,4.27E-18,m^3,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.118
Halococcus hamelinensis,Halococcus,Halococcaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,4.23E-06,s^-1,37,Celsius,1.05E-18,m^3,"corkrey, fierer, gold, microbe-directory, protraits","246, 1922, 12331, 18701, 18718"
Halococcus morrhuae,Halococcus,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,0.00020521,s^-1,50.9957,Celsius,1.02E-18,m^3,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.122
Haloferax volcanii,Haloferax,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,0.00018468,s^-1,45.0901,Celsius,1.14E-17,m^3,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.124
Halogeometricum borinquense,Halogeometricum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,0.00018992,s^-1,49.0452,Celsius,5.11E-18,m^3,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.122
Halomonas campisalis,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,4.11E-05,s^-1,29.9166,Celsius,2.88E-18,m^3,https://www.ncbi.nlm.nih.gov/pubmed/10794143,
Halomonas elongata,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,0.00026346,s^-1,35.97092192,Celsius,1.39E-18,m^3,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/51/4/0511457a.pdf?expires=1526917758&id=id&accname=guest&checksum=88E8DCDABD428EA0F6249F0404341F87,
Halomonas halodenitrificans,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,0.00012166,s^-1,35.06580037,Celsius,3.58E-19,m^3,Size:https://www.um.es/biomybiotec/web/Seminarios/2008/papers/A_Ventosa_Biology_moderately_halophilic.pdf;  mass:http://www.pnas.org/content/105/44/16994,DeLong
Halomonas subglaciescola,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,3.00E-07,s^-1,19.07,Celsius,2.68E-17,m^3,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/37/1/ijs-37-1-27.pdf?expires=1526918345&id=id&accname=guest&checksum=BCFA940E8C9D2267ACB4B0C4DE28C1DA,length vary’s dramatically 
Halonatronum saccharophilum,Halonatronum,Halobacteroidaceae,Halanaerobiales,Clostridia,Firmicutes,Bacteria,6.09E-05,s^-1,46.6861,Celsius,1.60E-18,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,pg.1215
Halorubrum saccharovorum,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,0.00014953,s^-1,44.9874,Celsius,7.04E-19,m^3,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.118
Haloterrigena turkmenica,Haloterrigena,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,0.00019879,s^-1,51.0409,Celsius,2.98E-18,m^3,"The Prokaryotes: Volume 3: Archaea. Bacteria: Firmicutes, Actinomycetes (vol 3)  by Ralph S. Wolfe (auth.), Martin Dworkin Professor Dr., Stanley Falkow, Eugene Rosenberg, Karl-Heinz Schleifer, Erko Stackebrandt (eds.) ",pg.126
Heliobacterium modesticaldum,Heliobacterium,Heliobacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.09E-05,s^-1,51,Celsius,3.47E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","106, 555, 4768, 12331, 13062, 14692, 18701, 18707, 18718, 18723"
Hydrogenimonas thermophila,Hydrogenimonas,NA,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria,1.47E-05,s^-1,55,Celsius,1.26E-18,m^3,"corkrey, fierer, gold","229, 2054, 12331"
Hydrogenivirga caldilitoris,Hydrogenivirga,Aquificaceae,Aquificales,Aquificae,Aquificae,Bacteria,2.93E-06,s^-1,75,Celsius,1.34E-19,m^3,"corkrey, engqvist, fierer, gold","360, 555, 2055, 12331"
Hydrogenobacter thermophilus,Hydrogenobacter,Aquificaceae,Aquificales,Aquificae,Aquificae,Bacteria,2.96E-06,s^-1,71.667,Celsius,2.97E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, patric, protraits, rrndb","251, 555, 5102, 7623, 12331, 13070, 15094, 15999, 18560, 18701, 18707, 18718, 18723"
Hydrogenophaga pseudoflava,Hydrogenophaga,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,8.08E-05,s^-1,23.76828512,Celsius,7.67E-19,m^3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2812990/,
